v1,v2
ham,Cảm ơn rất nhiều vì những lời chúc mừng sinh nhật của bạn. Cảm ơn bạn đã làm cho sinh nhật của tôi thực sự đáng nhớ.
ham,"Được thôi, tôi sẽ liên lạc với bạn khi tôi có tiền"
ham,Địa chỉ IP của tôi sẽ kiểm tra như thế nào khi máy tính của tôi không phải là máy chủ Minecraft?
ham,Tôi biết! Những người già cáu kỉnh. Mẹ tôi bảo tốt nhất là đừng nói dối. Nhưng tôi luôn là người nói đùa...
ham,Đừng lo lắng. Tôi đoán là anh ấy bận.
ham,Danh từ nghiên cứu là dạng số nhiều nào?
ham,Đi ăn tối. Nhắn tin cho bạn sau nhé.
ham,Tôi ổn với điều đó vì tôi thích thử những điều mới. Nhưng tôi sợ bạn không thích tôi. Vì bạn nói không quá to.
spam,GENT! Chúng tôi đang cố gắng liên lạc với bạn. Đợt rút thăm cuối tuần trước cho thấy bạn đã trúng giải thưởng 1000 bảng Anh ĐƯỢC BẢO ĐẢM. Gọi 09064012160. Nhận mã K52. Chỉ có hiệu lực trong 12 giờ. 150ppm
ham,"Wa, câu mở đầu của bạn trang trọng quá... Dù sao thì mình cũng ổn, chỉ là mình ăn quá nhiều và tăng cân thôi... Haha... Vậy có chuyện gì đặc biệt xảy ra vậy?"
ham,"Khi tôi bước vào cabin, trợ lý của tôi nói, ''Chúc mừng sinh nhật sếp!!''. Tôi cảm thấy đặc biệt. Cô ấy mời tôi ăn trưa. Sau bữa trưa, cô ấy mời tôi đến căn hộ của cô ấy. Chúng tôi đến đó."
spam, Bạn là người chiến thắng Bạn đã được lựa chọn đặc biệt để nhận 1000 bảng Anh hoặc kỳ nghỉ 4* (bao gồm cả chuyến bay) nói chuyện với tổng đài viên trực tiếp 2 yêu cầu 0871277810910p/phút (18+)
ham,"Tốt lắm! Vâng, chúng ta phải nói chuyện vào thứ sáu - cần tỷ lệ trứng-khoai tây để làm bánh tortilla!"
ham,Hmm...chú tôi vừa thông báo với tôi rằng chú sẽ trả tiền trực tiếp cho trường. Vậy nên hãy mua thức ăn nhé.
spam,"RIÊNG TƯ! Bảng sao kê tài khoản năm 2004 của bạn cho 07742676969 hiển thị 786 Điểm thưởng chưa đổi. Để yêu cầu, hãy gọi 08719180248 Mã định danh: 45239 Hết hạn"
spam,"GẤP! Số điện thoại di động của bạn đã được trao Giải thưởng Người gọi thưởng 2000 bảng Anh vào ngày 5/9/03 Đây là lần cuối cùng chúng tôi liên lạc với bạn! Gọi từ Điện thoại cố định 09064019788 BOX42WR29C, 150PPM"
ham,đây là địa chỉ mới của tôi - táo & cặp & tất cả những thứ vớ vẩn đó
spam,"Các số Voda ngày nay kết thúc bằng 7548 được chọn để nhận giải thưởng trị giá 350 đô la. Nếu bạn có kết quả trùng khớp, vui lòng gọi 08712300220 trích dẫn mã yêu cầu 4041 ứng dụng giá chuẩn"
ham, Hôm nay tôi sẽ đi sao mu. Sẽ xong lúc 12 giờ
ham,Bạn dự đoán khi nào thì sẽ hoàn tất việc mua hàng?
ham,"Tốt lắm, sẽ làm."
ham,"Chỉ để bạn biết, yetunde vẫn chưa gửi tiền. Tôi vừa gửi cho cô ấy một tin nhắn để không phải bận tâm gửi. Vậy là xong, bạn không cần phải dính líu vào bất cứ điều gì. Ngay từ đầu tôi không nên áp đặt bất cứ điều gì cho bạn, vì vậy, tôi xin lỗi."
ham,Bạn có ở trong phòng không?
ham,NÀY CÔ GÁI. KHỎE MẠNH KHÔNG? HY VỌNG EM VỪA MỚI VÀ GỌI LẠI! LÂU QUÁ KHÔNG CÓ! GỌI CHO EM MỘT NGÀY TỪ LUCYxx
ham,K..k:)giá bao nhiêu vậy?
ham,Tôi về nhà rồi.
ham,"Thân mến, tôi sẽ gọi lại vào ngày mai. Vui lòng sắp xếp thời gian."
ham,Trước tiên hãy trả lời câu hỏi của tôi.
spam,"Sunshine Quiz Wkly Q! Trúng thưởng đầu đĩa DVD Sony hàng đầu nếu bạn biết Algarve ở quốc gia nào? Nhắn tin trả lời đến 82277. £1,50 SP:Tyrone"
spam,Bạn muốn quan hệ tình dục tối nay? Bạn muốn địa điểm Dogging thực sự được gửi trực tiếp đến đám đông của bạn? Hãy tham gia Mạng Dogging lớn nhất Vương quốc Anh bằng cách nhắn tin GRAVEL đến 69888! Nt. ec2a. 31p.msg@150p
ham,Tôi chỉ có msn. Đó là yijue@hotmail.com
ham,Anh ấy ở đó. Bạn gọi và gặp anh ấy
ham,"Không, không. Tôi sẽ kiểm tra tất cả các phòng trước khi hoạt động"
spam,"Bạn sẽ không nhận được bất kỳ tin nhắn nào nữa từ dịch vụ trò chuyện. Để nhận dịch vụ Hardcore MIỄN PHÍ, hãy nhắn tin đến: 69988 Nếu bạn không nhận được gì, bạn phải Xác minh tuổi với mạng của bạn và thử lại"
ham,Có c... Tôi lười gõ... Tôi quên mất ü trong bài giảng... Tôi thấy một cái túi nhưng không đẹp lắm...
ham,"K, nhắn tin cho tôi khi bạn đang trên đường nhé"
ham,"Thưa ngài, tôi đang chờ thư của ngài."
ham,"Một swt nghĩ: ""Không bao giờ chán làm những việc nhỏ nhặt với những người đáng yêu.."" Bởi vì..đôi khi những việc nhỏ nhặt đó chiếm phần lớn trong trái tim họ.. Gud ni8"
ham,Tôi biết bạn đang làm vậy. Bạn có thể mở mặt sau ra được không?
ham,"Vâng, gặp bạn không đúng lúc"
ham,Tên của nhân viên đang dạy lớp cho chúng ta là gì?
spam,"FreeMsg Tại sao bạn chưa trả lời tin nhắn của tôi? Tôi là Randy, gợi cảm, nữ và sống tại địa phương. Rất mong nhận được hồi âm từ bạn. Netcollex Ltd 08700621170150p cho mỗi tin nhắn trả lời Dừng lại để kết thúc"
ham,Ummma. Sẽ gọi điện sau khi nhận phòng. Cuộc sống của chúng tôi sẽ bắt đầu từ Qatar nên hãy cầu nguyện thật nhiều nhé.
ham,"K..tôi đã xóa danh bạ của mình rồi, tại sao vậy?"
ham,Sindu đã có việc làm tại Birla Soft..
ham,Rượu đang chảy và tôi không bao giờ...
ham,"Vâng, tôi nghĩ rạp chiếu phim tốt hơn vì không cần phải xuống quảng trường đâu."
ham,Được thôi... Câu trả lời điển hình của bạn...
ham,Theo yêu cầu của bạn 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' đã được thiết lập làm nhạc chuông của bạn cho tất cả Người gọi. Nhấn *9 để sao chép nhạc chuông của bạn bè bạn
ham,"Em ở khắp mọi nơi, đất, trên sàn nhà, cửa sổ, thậm chí trên áo anh. Và đôi khi khi anh mở miệng, em là tất cả những gì tuôn ra. Anh mơ về thế giới của anh không có em, rồi một nửa công việc nhà của anh cũng tan biến. Một khoảng thời gian vui vẻ với anh, anh sẽ xem rất nhiều chương trình truyền hình. Nhưng anh đoán giống như tất cả mọi thứ, em chỉ cần tồn tại, như mưa, mưa đá và sương mù, và khi thời gian của anh ở đây kết thúc, em và anh trở thành một."
ham,"Đúng rồi, bạn đang ở chỗ làm phải không?"
ham,Tôi sắp rời khỏi nhà rồi...
ham,"Xin chào, tình yêu của anh. Em đang làm gì thế? Hôm nay em có đến buổi phỏng vấn không? Em có vui không? Em có ngoan không? Em có nghĩ đến anh không? Em có nhớ anh không?"
spam,Thông báo dịch vụ khách hàng. Bạn có một đơn hàng giao hàng mừng năm mới đang chờ bạn. Vui lòng gọi 07046744435 ngay để sắp xếp giao hàng
spam,Bạn là người chiến thắng Bạn đã được lựa chọn đặc biệt để nhận 1000 bảng Anh tiền mặt hoặc kỳ nghỉ 4* (bao gồm cả chuyến bay) nói chuyện với tổng đài viên trực tiếp 2 yêu cầu 0871277810810
ham,Hãy giữ an toàn cho anh vì anh cần em và anh đã nhớ em rồi và anh ghen tị với tất cả những ai nhìn thấy em ngoài đời thực
ham,Xe mới và nhà mới cho bố mẹ tôi.:) Tôi chỉ có công việc mới trong tay:)
ham,Anh yêu em nhiều lắm. Anh rất phấn khích mỗi ngày được ở bên em. Em làm anh hạnh phúc lắm.
spam,-PLS DỪNG LẠI bootydelious (32/F) đang mời bạn kết bạn với cô ấy. Trả lời CÓ-434 hoặc KHÔNG-434 Gặp cô ấy: www.SMS.ac/u/bootydelious DỪNG LẠI? Gửi STOP FRND đến 62468
spam,"BangBabes Đơn hàng của bạn đang trên đường. BẠN NÊN nhận được Tin nhắn dịch vụ để tải xuống nội dung của mình. Nếu không, hãy vào wap. bangb. tv trên menu dịch vụ/internet di động của mình"
ham,Tôi đã đưa tất cả các điểm của bạn vào mô-đun văn hóa điện tử rồi.
spam,GẤP! Chúng tôi đang cố gắng liên lạc với bạn. Đợt rút thăm cuối tuần trước cho thấy bạn đã trúng giải thưởng 900 bảng Anh ĐƯỢC ĐẢM BẢO. Gọi 09061701939. Nhận mã S89. Chỉ có hiệu lực trong 12 giờ
ham,"Xin chào bạn, cách tốt nhất để tránh hiểu lầm với người mình yêu là gì?"
ham, Tuyệt vời. Tôi thích cây cầu nhưng cần bia của cô ấy. Hẹn gặp lại vào ngày mai
ham,Vâng :) nó hoàn toàn không phù hợp :) clark cũng hoàn toàn lãng phí.
ham,"Thưa ông, tôi cần số tài khoản và địa chỉ ngân hàng AXIS BANK."
ham," Hmmm.. Cảm ơn bạn đã có thời gian để nhảy vào... Vâng, có thể đi miễn phí khoảng... Mẹ sẽ gọi cho bạn để thảo luận về..."
ham, Mấy giờ bạn sẽ xuống?
ham," Trời ơi, không thể tin là anh quên họ của tôi, anh . Tôi sẽ cho anh gợi ý, đó là tiếng Tây Ban Nha và bắt đầu bằng chữ m..."
ham,"Được rồi, tôi sẽ tắm xong đây. Chúc bạn có một... buổi tối tốt lành."
ham,Hãy cho tôi biết khi bạn có tiền để Carlos có thể gọi điện.
ham,Bạn vẫn đi trung tâm thương mại chứ?
ham,"Hóa ra bạn bè tôi sẽ ở lại xem hết chương trình và sẽ không quay lại cho đến ~ &lt;#&gt; , vì vậy cứ thoải mái hút hết số tiền &lt;#&gt; đó"
ham,"Nhắn tin cho cô ấy. Nếu cô ấy không trả lời, hãy cho tôi biết để tôi có thể cho cô ấy đăng nhập"
ham,Xin chào! Bạn vừa nói chuyện với MANEESHA V. Chúng tôi muốn biết bạn có hài lòng với trải nghiệm này không. Trả lời miễn phí bằng Có hoặc Không.
ham,Bạn đã nâng cao hy vọng của tôi bằng lời đề nghị về tiền bạc. Tôi đang cần tiền. Đặc biệt là khi cuối tháng đang đến gần và nó làm ảnh hưởng đến việc học của tôi. Dù sao thì cũng có một kỳ nghỉ cuối tuần tuyệt vời
ham,Haha không. Bạn có thể tin tôi.
ham,Được thôi. Tôi là một quý ông và sẽ đối xử với bạn một cách đàng hoàng và tôn trọng.
ham,"Anh ấy sẽ đóng cửa, các anh nhé?"
ham,Không có gì to tát cả. Tạm biệt
ham,Xin chào anh đẹp trai! Anh có tìm được việc không? Không phải lười biếng sao? Đang cố gắng để lấy lại lưới cho mẹ? Cậu bé của em đâu rồi? Anh ấy có nhớ em không?
ham,"Haha tuyệt vời, sẽ có mặt ngay thôi"
spam,Vui lòng gọi cho đại diện dịch vụ khách hàng của chúng tôi theo số điện thoại MIỄN PHÍ 0808 145 4742 từ 9 giờ sáng đến 11 giờ tối vì bạn đã THẮNG được giải thưởng tiền mặt trị giá 1000 bảng Anh hoặc 5000 bảng Anh!
ham,Bạn có chương trình radio Giáng sinh không? Nếu không thì tôi sẽ lấy ngay bây giờ
ham,Tôi vừa về đến nhà. Tôi đi tắm trước. Nhưng chị tôi dùng mạng để báo cho bạn biết khi nào chị ấy xong việc...
spam,Bạn có đủ độc đáo không? Hãy tìm hiểu từ ngày 30 tháng 8. www.areyouunique.co.uk
ham,Tôi xin lỗi. Tôi đã gia nhập vào nhóm những người không giữ liên lạc. Bạn có ý nghĩa rất lớn đối với tôi. Bạn luôn là bạn của tôi ngay cả khi phải trả giá đắt về mặt cá nhân. Chúc bạn có một tuần tuyệt vời.|
ham,Xin chào :) cuối cùng tôi đã hoàn thành khóa học :)
ham,"Nó sẽ tự dừng lại. Tuy nhiên, tôi khuyên cô ấy nên ở với người có thể cho cô ấy ăn mỗi lần đi ngoài."
ham,Bạn khỏe không? Hy vọng bạn đã ổn định cho năm học mới. Chỉ chúc bạn một ngày tuyệt vời
ham,Chúc bạn một ngày tốt lành
ham,Bạn có hiểu câu chuyện của người đó không?
ham," Con chuột hamster của bạn chết rồi à? Này, vậy mai tôi gặp bạn lúc 1 giờ chiều ở Orchard MRT nhé?"
ham,"Xin chào, Kate đây, buổi tối của bạn thế nào? Tôi hy vọng có thể gặp bạn vào ngày mai một chút nhưng tôi phải đi thôi! Nhắn tin lại nếu bạn có thể. :) xxx"
ham,"Đã tìm thấy rồi, ENC &lt;#&gt; , bạn ở đâu?"
ham,Tôi đã gửi cho bạn &lt;#&gt; đô la
ham,"Xin chào em yêu, anh đã tốt nghiệp đại học rồi, hãy nhắn tin cho anh khi em tốt nghiệp nhé, nếu em thích Kate thì hãy yêu nhé xxx"
ham,Tài khoản của bạn đã được nạp tiền thành công bằng INR &lt;DECIMAL&gt;. Số dư tài khoản trả trước KeralaCircle của bạn là Rs &lt;DECIMAL&gt;. ID giao dịch của bạn là KR &lt;#&gt;.
ham,"Chào buổi sáng, ngủ ngon nhé ga."
ham,Bạn gọi tôi lúc 11 giờ nhé.
ham,Ü nói cho đến khi như thế tôi không thể mua ericsson oso không thể oredi lar...
