v1,v2
ham,Được rồi... Tôi đã đặt tất cả rồi... Bao gồm cả vé ở Bugis.
ham,"Thôi kệ, tôi sẽ lấy nó sau"
ham,Không de. Nhưng hãy gọi cho tôi sau một thời gian. Tôi sẽ nói cho bạn biết k
ham,"Vì vậy, đừng sử dụng hook up theo bất kỳ cách nào"
ham,Giá của Blackberry Bold2 ở Nigeria là bao nhiêu?
ham,"Xin chào, bạn ở đâu? Bạn ở nhà hay ở Calicut?"
ham,Này em yêu...anh có thể đón em ở trường đại học nếu em cho anh biết khi nào và ở đâu...yêu Pete xx
spam,"Gọi 09094100151 để sử dụng phút của bạn! Cuộc gọi được thực hiện với giá 10 xu/phút (số điện thoại thay đổi). Dịch vụ do AOM cung cấp, chỉ 5 bảng Anh/tháng. AOM Box61,M60 1ER cho đến khi bạn dừng. Chỉ dành cho người từ 18 tuổi trở lên!"
ham,"Ồ... Tôi đang nghĩ đến việc tập yogasana lúc 10 giờ tối và đi lúc 3 giờ sáng để có thể nhanh chóng đến parco 4 nb... Được rồi bạn, hãy gọi cho tôi khi sẵn sàng..."
ham,Đã muộn rồi nhưng tôi cần phải đi lấy máy tính xách tay...
ham,"Thưa ông, tôi đang chờ thư của ông."
ham,.Vui lòng sạc điện thoại di động của tôi khi bạn thức dậy vào buổi sáng.
ham,"Không có gì, tôi nhận được tin nhắn từ số lạ đó.."
ham,"Ugh chết tiệt, tôi sẽ chuyển tiếp sang eve"
ham,Anh ấy không thấy bóng của mình. Chúng ta có một mùa xuân sớm yay
ham,Tôi đã làm. Một lát và một ổ bánh mì. Lol
ham,"Này! Anh muốn em! Anh thèm khát em! Anh nhớ em! Anh cần em! Anh yêu em, Ahmad Saeed al Hallaq ..."
ham,Ngày mai có buổi đào tạo nào không?
spam,"GẤP! Số điện thoại di động của bạn *********** ĐÃ THẮNG Giải thưởng Người gọi thưởng trị giá 2.000 bảng Anh vào ngày 02/06/03! Đây là lần thứ 2 liên lạc với BẠN! Hãy gọi 09066362220 ngay! BOX97N7QP, 150ppm"
ham,Chuyển cái này cho tất cả những người bạn liên lạc và xem bạn nhận được gì! Đỏ; tôi đang yêu bạn. Xanh; bạn làm tôi mỉm cười. Tím; bạn thực sự nóng bỏng. Hồng; bạn thật swt. Cam; tôi nghĩ tôi thích bạn. Xanh lá; tôi thực sự muốn đi chơi với bạn. Vàng; tôi muốn quay lại với bạn. Đen; tôi ghen tị với bạn. Nâu; tôi nhớ bạn. Làm ơn cho tôi một màu
ham,Vì bố sắp xếp thời gian nên giờ phải đón con về...
ham,Vậy thì. Bạn là người lớn tuổi nhất biết.
ham,Ai ở đó chào người bán thuốc của chúng tôi
ham,Thật khó để tin những điều như thế này. Mọi người đều có thể nói dối nhưng hãy suy nghĩ kỹ trước khi nói bất cứ điều gì với tôi.
spam," Âm báo Nokia kỳ lạ 4u, trả lời TONE TITLE tới 8007 ví dụ TONE DRACULA tới 8007 Tiêu đề: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
spam,"Những người độc thân quyến rũ đang chờ bạn! Nhắn tin TUỔI của bạn theo sau là GIỚI TÍNH của bạn như với M hoặc F EG23F. Đối với những người đàn ông đồng tính, hãy nhắn tin TUỔI của bạn theo sau là G. eg23G."
ham,Chúc ngủ ngon em yêu.. Ngủ ngon và chăm sóc bản thân nhé
ham,Đó là bài hát tuyệt vời
spam,"FreeMsg: Nhận 250 tin nhắn SMS của bạn - Nhắn tin OK đến 84025 ngay bây giờ! Sử dụng web2mobile cho bạn bè của bạn, v.v. Tham gia Txt250.com với giá 1,50 xu/tuần. T&C BOX139, LA32WU. 16 . Xóa txtX hoặc dừng"
ham,"Vâng, thực ra chúng ta khá nhanh... Bởi vì chậm quá... Haha..."
ham,Phải đến sau thôi.. Tôi thường tắm cho anh ấy vào buổi chiều..
ham,Tin tôi đi. Ngay cả khi không có ở đó thì nó vẫn có ở đó.
ham,Này hun-onbus đi gặp anh ấy. Anh ấy muốn ra ngoài ăn nhưng tôi không muốn vì phải đi xe buýt cuối về nhà! Nhưng dạo này anh ấy dễ thương quáxxx
spam,85233 MIỄN PHÍ>Nhạc chuông!Trả lời THẬT
ham,Tôi có thể đưa bạn đi vào lúc trưa
ham,Ở đâu vậy? Có vị trí tuyển dụng nào cho MCA không?
ham,Tôi ổn. Có chuyện gì xảy ra với anh vậy?
ham,Tôi xong rồi...
ham,"Em cũng ngọt ngào lắm, công chúa. Hãy cho anh biết em thích và không thích gì trên giường nhé..."
ham,Bạn khỏe không? Chúc bạn có một học kỳ tuyệt vời
ham,Moji anh yêu em hơn cả lời nói. Chúc em một ngày vui vẻ
ham,"Bạn ơi, bạn có thích gió nhẹ không?"
ham,"Được rồi em yêu, anh chỉ nghĩ là anh sẽ nói thế này! Em thế nào? Tuần này gần kết thúc rồi, em yêu à! Chúng ta sẽ quan hệ ngay nếu em muốn nhé? Yêu Jen x."
spam,"Làm tốt lắm ANH QUỐC! Nhận nhạc chuông poly chính thức hoặc cờ màu trên điện thoại di động của bạn! nhắn TONE hoặc FLAG đến 84199 NGAY BÂY GIỜ! Hủy đăng ký nhắn ENG STOP. Box39822 W111WX £1,50"
ham,"Không, tôi không. Tôi không thể cho bạn mọi thứ bạn muốn và cần. Thực ra, bạn có thể tự làm tốt hơn cho bản thân mình - bạn có nhiều tiền hơn tôi. Tôi không thể kiếm được việc làm, tôi không thể kiếm được đàn ông, tôi không thể trả tiền thuê nhà, tôi thậm chí không thể đổ đầy bình xăng chết tiệt của mình. Vâng, tôi căng thẳng và chán nản. Tôi thậm chí còn không gọi điện về nhà vào lễ Tạ ơn vì tôi sẽ phải nói với họ rằng tôi chẳng làm gì cả."
ham,S:-)kallis sẽ không chơi trong hai trận odi đầu tiên:-)
ham,Sau đó lấy một ít tiền mặt và tôi sẽ nhắn tin cho Jason
ham,"Ôi, tình yêu của tôi, thật tuyệt khi được nghe tin từ bạn. Ôi trời, hôm nay tôi nhớ bạn quá. Tôi xin lỗi vì bạn gặp vấn đề với nhà cung cấp nhưng cảm ơn bạn đã nhắn tin cho tôi"
spam,"Cơ hội cuối cùng! Nhận phiếu giảm giá trị giá 150 bảng Anh ngay hôm nay! Nhắn tin YES đến số 85023 ngay! SavaMob, thành viên cung cấp dịch vụ di động! T Cs SavaMob POBOX84, M263UZ. £3.00 Đăng ký 16"
spam,"RIÊNG TƯ! Bảng sao kê tài khoản năm 2004 của bạn cho 07742676969 hiển thị 786 Điểm thưởng chưa đổi. Để yêu cầu, hãy gọi 08719180248 Mã định danh: 45239 Hết hạn"
ham,Có lẽ bạn muốn tìm hiểu thêm?
ham,Tôi xong rồi...
ham,Bạn có phải là cô gái dễ thương nhất thế giới hay không?
ham,"Không được, lớp nghệ thuật từ lớp 6 đến lớp 9 :( dù sao cũng cảm ơn bạn. Bạn có biết tôi nên đến vào lúc mấy giờ ngày mai không?"
spam,"DỊCH VỤ SMS. để được hưởng các khoản tín dụng văn bản bao gồm của bạn, vui lòng truy cập www.comuk.net đăng nhập= ***** hủy đăng ký với STOP. không tính thêm phí. trợ giúp: 08700469649. PO BOX420. IP4 5WE"
ham,Oh Howda gud gud.. Mathe en samachar chikku :-)
ham,Tôi nghĩ là 530 Lor. Nhưng không biết có thể lấy được vé không. Bây giờ bạn đang làm gì?
ham,Audrie tệ quá tự động sửa lỗi
ham,Đây là trang web mô phỏng bài kiểm tra. Nó chỉ cung cấp cho bạn những câu hỏi rất khó để kiểm tra sự sẵn sàng của bạn.
ham,Dù sao thì nghiêm túc mà nói hãy nhắn tin cho tôi khi bạn quay lại vì nếu không tôi sẽ phải châm lửa với Armand và anh ấy lúc nào cũng bị ỉa và/hoặc nôn mửa
ham,Tôi đi lấy bạn hay bạn đi lấy?
ham,Cảm ơn bạn. Tôi cũng thích bạn...
ham,"Hmmm ... Và hãy tưởng tượng sau khi bạn về nhà, bạn phải xoa bóp chân cho tôi, nấu bữa tối cho tôi và giúp tôi chuẩn bị cho buổi hẹn hò! Bạn có chắc là bạn đã sẵn sàng cho cuộc sống như thế không?"
spam,"FREE2DAY ảnh Ngày Thánh George gợi cảm của Jordan! Nhắn tin PIC đến số 89080 đừng bỏ lỡ, sau đó mỗi tuần sẽ có một người nổi tiếng táo bạo! Thêm 4 bức ảnh nữa c PocketBabe.co.uk 0870241182716 £3/tuần"
ham,Lara nói cô ấy có thể cho tôi mượn &lt;#&gt; .
ham,Chúng ta có nguồn điện dự phòng nào không?
ham,Yar anh ấy khá thông minh nhưng sau nhiều lần đoán mò. Anh ấy đã yêu cầu tôi mang theo nhưng tôi nghĩ Darren không muốn đi. Aiya họ nghĩ Leona vẫn chưa gắn bó với cái gì.
spam,"Bạn là người chiến thắng, bạn đã được chọn đặc biệt để nhận 1000 bảng Anh tiền mặt hoặc giải thưởng 2000 bảng Anh. Nói chuyện với tổng đài viên trực tiếp để yêu cầu gọi 087123002209 sáng-7 tối. Chi phí 10 xu"
ham,"Vâng, đừng đi ngủ, tôi sẽ trở lại trước nửa đêm."
spam,"Sunshine Hols. Để yêu cầu kỳ nghỉ y tế của bạn, hãy gửi một phong bì có dán tem đến Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Bài kiểm tra bắt đầu vào thứ Bảy! Dừng hủy đăng ký"
ham,"Vâng, tôi không rảnh vì bận việc tối qua nên họ phải mời Nickey Platt thay vì tôi!;"
ham,"Lại đến thời điểm đó trong tuần rồi, Ryan"
ham,Chúc bạn một ngày tốt lành.. Chúc mừng sinh nhật vikky..
spam,"Bạn có thể THẮNG 100 bảng Anh tiền Phiếu quà tặng âm nhạc mỗi tuần bắt đầu từ NGAY BÂY GIỜ. Gửi tin nhắn DRAW đến số 87066 TsCs www.Idew.com SkillGame, 1Winaweek, 16 tuổi. Đăng ký 150ppermess"
ham,Tôi hy vọng bạn biết là tôi vẫn còn giận bạn.
ham,"Argh 3g của tôi bị chập chờn, dù sao thì điều duy nhất tôi nhớ từ cuộc tìm kiếm mà chúng tôi đã thực hiện là province và sterling là những nơi duy nhất không có vấn đề gì mà chúng tôi đã xem xét"
ham,"Trong hội trường xam, chàng trai hỏi cô gái Hãy cho tôi biết thuật ngữ bắt đầu cho câu trả lời này Tôi có thể tự mình trả lời Sau nhiều lần do dự và nhìn xung quanh trong im lặng, cô ấy đã nói THE! intha ponnungale ipaditan;)"
ham,Bạn có biết khi nào có kết quả không?
spam,"+123 Xin chúc mừng - trong cuộc thi rút thăm tuần này, bạn đã trúng giải thưởng trị giá 1450 bảng Anh để nhận chỉ cần gọi đến số 09050002311 b4280703. Điều khoản & Điều kiện/Dừng SMS 08718727868. Trên 18 tuổi chỉ 150ppm"
ham,"Sự thật đẹp đẽ chống lại trọng lực.. Hãy đọc kỹ: ""Trái tim chúng ta cảm thấy nhẹ nhõm khi có ai đó ở trong đó.. Nhưng nó lại cảm thấy rất nặng nề khi có ai đó rời xa nó.."" CHÚC NGỦ NGON"
ham,"Xin lỗi, tôi phải dậy ngay bây giờ, cảm thấy rất tệ - hoàn toàn từ chối kiểu bản thân như vậy."
ham,Nhưng bạn có rất nhiều kim cương
ham,Tessy..làm ơn giúp tôi một việc. Làm ơn chuyển lời chúc mừng sinh nhật của tôi đến Nimya..làm ơn đừng quên điều đó. Hôm nay là sinh nhật của cô ấy Shijas
ham,"Được rồi, tôi sẽ trở thành một cô!"
ham,"Của tôi ở đây giống như đồ Trung Quốc vậy, rất ồn ào."
ham,Tôi đoán là sau này. Tôi cũng cần phải học MCAT.
ham,S...theo hướng dẫn đào tạo thì không có quy trình kỹ thuật nào cả:)tất cả chỉ là đặt lại mật khẩu và khắc phục sự cố:)
spam,Phiếu mua hàng B4U của bạn có hiệu lực từ ngày 27/03 là MARSMS. Đăng nhập vào www.B4Utele.com để được giảm giá. Để từ chối trả lời dừng. Gọi bộ phận chăm sóc khách hàng 08717168528
ham,"Hôm nay đã nói chuyện với chú John. Chú ấy thực sự cảm thấy rằng bạn cần phải hy sinh để giữ tôi ở lại đây. Chú ấy sẽ gọi cho bạn. Khi chú ấy gọi, tôi cầu xin bạn hãy lắng nghe. Đừng hứa hẹn hay làm rõ rằng mọi thứ không dễ dàng. Và tôi cần bạn vui lòng để chúng tôi giải quyết mọi việc. Miễn là tôi vẫn tiếp tục mong đợi sự giúp đỡ, sự sáng tạo của tôi sẽ bị kìm hãm, vì vậy hãy làm cho chú ấy vui vẻ, đừng hứa hẹn gì cả."
ham,"Nếu anh ấy bắt đầu tìm kiếm, anh ấy sẽ có việc làm trong vài ngày. Anh ấy có tiềm năng và tài năng lớn."
ham,"Carlos mất một lúc (lại nữa), chúng tôi sẽ rời đi trong một phút"
ham, Làm tốt lắm và yêu tất cả các bạn
ham,Vậy tại sao bạn lại đến ký túc xá?
ham,K anh vẫn còn yêu em chứ?
ham,Nhưng tôi vừa nhớ ra là hôm nay tôi phải tắm cho chó..
ham,"Sau khi dùng thuốc, cô ấy sẽ có thể ăn được."
ham,"Được rồi, uống morphine. Quay lại với bạn."
ham,Bạn vui lòng xem các yêu cầu
ham," Tránh xa rắc rối đi người lạ!! Hôm kia gặp Dave, anh ấy ổn rồi! Vẫn ở bên em nhé anh bạn, khi nào anh có bạn gái anh bạn! Mẹ anh vẫn nghĩ chúng ta sẽ có 2GETHA!"
spam,FreeMsg: Này - Tôi là Buffy. 25 tuổi và thích làm hài lòng đàn ông. Ở nhà một mình cảm thấy ham muốn. Trả lời 2 C PIX của tôi! QlynnBV Help08700621170150p a tin nhắn Gửi dừng để dừng tin nhắn
spam,"Sunshine Hols. Để yêu cầu kỳ nghỉ y tế của bạn, hãy gửi một phong bì có dán tem đến Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Bài kiểm tra bắt đầu vào thứ Bảy! Dừng hủy đăng ký"
ham,Vậy có thể lấy lại máy tính xách tay của bạn không?
ham,"Được. Có thể chiếu muộn hơn vào khoảng 8-8:30 nếu bạn muốn + có thể uống trước. Sẽ không muốn tốn tiền cho đồ ăn vặt nếu bạn không phiền, vì sẽ làm vào tuần tới."
ham,Tôi sẽ làm điều đó khi tôi về nhà
ham,Đợi đã?? Lololo được rồi lần sau nhé!
ham,"Bàn đã có người, tôi đang đợi bên cây"
ham,Tôi chắc chắn không quên đến đây:) Tôi sẽ luôn giữ liên lạc với bạn:-)
ham,"Xin chào, vui lòng trả lại cho chúng tôi các giấy tờ mà chúng tôi đã nộp để vay từ STAPATI"
ham,"Tôi không có, tôi sẽ mua một cái, bạn thân mến"
ham,"Ôi trời, tôi vui mừng khi thấy tin nhắn của bạn sau 3 ngày"
ham,Năm nào. Và bao nhiêu dặm.
ham,Này em yêu. Mọi chuyện thế nào rồi? Ở WALES thì cũng ổn. Có đồi núi và đủ thứ nhưng tôi vẫn chưa tự tử.
ham,"Câu chuyện buồn của một người đàn ông - Tuần trước là sinh nhật của tôi. Vợ tôi không chúc mừng tôi. Bố mẹ tôi quên mất và các con tôi cũng vậy. Tôi đi làm. Ngay cả các đồng nghiệp của tôi cũng không chúc mừng. Khi tôi bước vào cabin của mình, trợ lý của tôi nói, ''Chúc mừng sinh nhật sếp !!''. Tôi cảm thấy mình thật đặc biệt. Cô ấy mời tôi ăn trưa. Sau bữa trưa, cô ấy mời tôi đến căn hộ của cô ấy. Chúng tôi đến đó. Cô ấy nói, ''anh có phiền nếu em vào phòng ngủ một phút không? '' ''Được'', tôi ngồi trong tâm trạng gợi cảm. Cô ấy bước ra 5 phút sau với một chiếc bánh ... Vợ tôi, Bố mẹ tôi, Con tôi, Bạn bè tôi và Đồng nghiệp của tôi. Tất cả đều hét lên .. BẤT NGỜ !! và tôi đang đợi trên ghế sofa .. ... ..... 'KHÔNG CÓ GÌ CẢ ...!"
ham,Tôi nghĩ bạn nên đi theo con đường trung thực. Gọi đến ngân hàng vào ngày mai. Những quyết định khó khăn làm nên con người tuyệt vời của chúng ta.
spam,MIỄN PHÍ trong tuần đầu tiên! No1 Nokia tone 4 ur mob hàng tuần chỉ cần nhắn tin NOKIA đến số 87077 Nhận tin nhắn và nói với bạn bè của bạn. zed POBox 36504 W45WQ norm150p/tone 16+
ham,Không. Không phải chuyên môn hóa. Có thể làm việc nhưng là lao động nô lệ. Sẽ tìm kiếm nó trong tháng này vì sha cos no shakara 4 beggar.
ham,Cô ấy có trả lời không? Boye đã đổi số điện thoại chưa?
ham,"1) Vào mục viết tin nhắn 2) Bật chế độ Từ điển 3) Che màn hình bằng tay, 4) Nhấn &lt;#&gt; . 5) Nhẹ nhàng bỏ tay ra. Thật thú vị..:)"
ham,"chào em yêu, anh đang trên đường đến London và chúng ta vừa bị một tài xế khác đâm vào! và bị móp rất to! anh thực sự nhớ em, dạo này em làm gì thế? xxx"
ham,"Không có gì thực sự cả, chỉ là đảm bảo mọi người đều cập nhật thông tin"
ham,Tôi sẽ không về nhà ăn tối.
ham,"Cảm ơn bạn. Nhân tiện, tôi vừa thua rồi."
ham,Có. Anh ấy có đầu óc chơi cricket tốt.
ham,Cảm ơn. Mọi chuyện sẽ ổn trong vài tháng nữa
spam,"Mua sắm thả ga, CÓ PHẢI LÀ BẠN, hoặc 10K, 5K, 500 bảng Anh tiền mặt hoặc phiếu du lịch 100 bảng Anh, Gọi ngay, 09064011000. NTT PO Box CR01327BT đường dây cố định Chi phí 150ppm di động thay đổi"
ham,"TÔI CÓ THỂ ĐẾN THỊ TRẤN NGAY BÂY GIỜ KHÔNG? KHÔNG QUAN TRỌNG NẾU URGOIN OUTL8R, TÔI CHỈ CẦN 2DOCD. XIN ĐỪNG BỎ QUA CUỘC GỌI CỦA TÔI, BẠN KHÔNG CÓ CD NÀO. TẬP 4 QUAN TRỌNG NGÀY 2 THÁNG 8"
ham,Tôi sẽ không. Vậy thì các chàng trai kia thế nào?
ham,Yavnt đã thử và chưa bao giờ chơi bản gốc
ham,"Chào bạn, bạn có một ngày tốt lành không? Bạn đã nói chuyện với tôi kể từ cuối tuần chưa?"
ham,Thấy chưa? Tôi đã nghĩ kỹ rồi
ham,Tôi đang ở nơi làm việc. Vui lòng gọi
ham,chuẩn bị rên rỉ và la hét nhé :)
ham,Ồ k :) tại sao bạn lại có việc làm thế?
ham,Tôi không nghĩ vậy. Bạn không cần phải ra ngoài muộn như vậy vào đêm đi học. ĐẶC BIỆT là khi lớp học duy nhất bạn có là lớp bạn đã nghỉ học vào thứ tư tuần trước và có thể đã trượt bài kiểm tra vào thứ sáu
ham,Và việc uống &lt;#&gt; ibuprofen cũng không có tác dụng gì.
ham,"Em yêu! Ngày hôm nay thế nào? Em đang làm gì? Em đang ở đâu? Anh nhấp một ngụm cappuccino và nghĩ về em, tình yêu của anh... Anh gửi đến em một nụ hôn từ bên kia biển"
ham,Được rồi.
ham,P/s: Bạn đã trưởng thành rồi phải không?
ham,"Phố Tàu có cháo, cơm niêu, bánh khoai mỡ, bánh cá lóc... Hoặc là chúng ta ăn đồ rẻ tiền ở quán cà phê và tok hoặc đến New York hoặc nơi nào đó..."
ham,Tôi biết một số người tôi có thể gặp và quan hệ tình dục ngay
ham,Sự trong sáng của tình bạn giữa hai người không phải là mỉm cười sau khi đọc tin nhắn được chuyển tiếp. Mà là mỉm cười chỉ khi nhìn thấy tên. Gud evng
ham,Vậy có điều gì cụ thể mà tôi nên làm liên quan đến jaklin hay gì không vì tôi không biết cái quái gì nữa
ham,Ôi trời ơi. Tôi sẽ tìm kiếm những vách đá gần đây trên Google ngay.
spam,"Điện thoại camera MIỄN PHÍ với linerental từ 4,49/tháng với 750 phút cross ntwk. Gói 1/2 giá txt cũng có sẵn. Gọi 08001950382 hoặc call2optout/J MF"
ham,"Vâng, tôi sẽ phải mất 10 trang nếu tôi thêm số liệu... Mọi người có bao nhiêu trang?"
ham," Ồ, được rồi, tôi sẽ bắt đầu học múa bụng ở Moseley vào thứ tư lúc 6 giờ 30. Nếu bạn muốn tham gia cùng tôi, họ cũng có một quán cà phê nữa."
ham,Cảm ơn bạn rất nhiều vì đã gọi điện. Tôi rất cảm kích sự quan tâm của bạn.
ham,Xin chúc mừng! Đã xử lý xong. Tôi không nhận thư trong 2 ngày. Sẽ gửi thư một lần. Tôn trọng mẹ ở nhà. Kiểm tra thư.
ham,Tôi gọi nhưng không ai nhấc máy. Tôi đã hỏi cả hai người rồi và họ đều nói ổn.
ham," Xin chào, địa chỉ email của tôi đã thay đổi rồi"
ham,"Có giá trị. Có tình cảm. Có thể yêu. Có thể vĩnh cửu. Có phẩm giá. Có lòng trung thực. Có tính thân mật. Có tính tự nhiên. Có tính nam. Chúc mừng ""NGÀY VALENTINE"" trước"
ham,"Không nhiều lắm, chỉ là nhắn tin thôi. Còn bạn thì sao?"
ham,Hãy mang theo nếu bạn có nó
ham,Tôi đang ở trong một bộ phim. Gọi tôi là gì?
ham,Không chắc là tôi có đủ can đảm để làm điều đó không...
ham,Haha... có thể... Nhưng tôi đang ăn tối với anh họ tôi...
ham,"Một cậu bé về nhà muộn. Cha cậu bé: ""SỨC MẠNH CỦA TÌNH BẠN"""
ham,"(Và anh chàng Carlos của tôi chắc chắn sẽ đến thăm tôi tối nay, không có lý do gì cả)"
ham,Sớm thôi em sẽ có công chúa thật sự! Anh có làm em ướt không? :)
ham,Raji..làm ơn giúp tôi một việc. Làm ơn chuyển lời chúc mừng sinh nhật của tôi đến Nimya. Làm ơn. Hôm nay là sinh nhật của cô ấy.
ham,"Haha, chân và cổ tôi đau quá và mấy đứa bạn tôi thì đang hy vọng kết thúc đêm nay bằng một trận cháy nắng, nghĩ xem tôi có thể ghé qua trong vòng một giờ không?"
spam,"GẤP! Số điện thoại di động của bạn là 07xxxxxxxxx đã trúng giải thưởng người gọi điện thoại thưởng 2.000 bảng Anh vào ngày 02/06/03! đây là lần thứ 2 liên lạc với BẠN! hãy gọi 09066362231 ngay! BOX97N7QP, 150PPM"
